"model","AIC","BIC","adj_r2","dev_explained","n"
"GAM",343654.282076866,344011.910119056,0.805222884828838,0.805291731730042,100000
"Quadratic OLS",37105704.7567744,37106030.8550549,0.793968442815225,NA,10619326
