"smooth","edf","ref_df","F_stat","p_value"
"s(time)",6.97830028281305,7,15414.9021623575,0
"s(percentile_num)",8.98932993954977,9,22788.0678188214,0
"s(sal_int)",4.37852051742839,5,239.668910343631,0
