"","time_horizon","total_wildland_area","houses_per_ha","house_price","agric_land_price","fire_fight_cost_per_ha","salvage_logging_cost_per_ha","output_1"
"850",36,165253,4.32743375750724,42379.6015176537,10406.9898110081,207.627256507087,1908.89941192643,-315265140.650406
"851",36,165253,5.5530446418561,48020.1693608304,5087.84788581151,1740.71486466047,1983.43333537834,-327768307.315884
"852",36,165253,10.6872216402087,46528.1900821155,9239.85190661651,944.557931731969,1686.65057421897,-278672168.734036
"853",36,165253,12.8260371779324,31385.2759429259,15885.8298124785,331.275030292132,1974.09898061285,-325622995.856803
"854",36,165253,1.62799846769776,69376.2947102456,10862.1328485006,2283.6195418738,1935.66656184269,-319657773.251641
"855",36,165253,3.40610271350015,82443.0279844754,13025.6304441514,502.434056315142,2067.42120648921,-340237168.932865
"856",36,165253,5.78773968699388,56789.2276911003,11632.7452606268,368.250053485596,1728.31499757292,-285609236.264451
"857",36,165253,1.23060920182616,41032.5782197399,14131.6661677405,794.868890754112,2005.60683831882,-331425193.834197
"858",36,165253,12.2422715531196,34726.9613080171,7003.35979826585,1163.93681215306,1905.48935303387,-314022448.058812
"859",36,165253,2.86149987014942,37925.3949843332,5542.61304102399,795.850552417565,1990.44238644965,-328815538.022493
"860",36,165253,13.7723325739615,43198.6327905331,11079.6675682947,806.692749985678,1946.62369576259,-321674259.759184
"861",36,165253,6.08949844259769,70549.4314222594,17611.5821853368,1268.98219721526,1870.67709182757,-306891866.678146
"862",36,165253,14.9316138762748,51275.1255016447,11011.901009534,891.127262067972,1710.44757431369,-282656592.99806
"863",36,165253,15.5737454606919,32813.0093380326,14551.6511913373,795.800216760911,1865.01713542307,-307160695.673263
"864",36,165253,15.6623730210587,44154.8152788646,15805.6713453728,10.1762024364275,2012.70505013107,-332605543.383882
"865",36,165253,7.84454861578997,41848.5308868766,10340.162572561,212.837347609558,1836.48632552806,-303436454.260497
"866",36,165253,5.07356143407524,59408.0447380063,4908.1045495569,1329.41616137714,1986.78187167045,-328316000.731052
"867",36,165253,14.4086646878161,41398.168086031,3914.33841089004,2318.7723553407,2054.74911521202,-336469295.550952
"868",36,165253,17.8436976868659,53087.450893956,11332.9215250281,78.9073617613649,2136.62823102488,-351269399.15629
"869",36,165253,7.17026755986735,80673.3710062708,4912.93279984107,237.412554472107,2035.18910775004,-335119007.807547
"870",36,165253,13.9056640126975,35804.8513636534,17409.0974477474,218.777237546435,2015.9866528067,-333138523.297806
"871",36,165253,18.3177211988717,124740.618280612,12947.8617404588,845.145083145274,1959.86185098418,-323176924.396182
"872",36,165253,4.41254038801417,25363.3743255418,11875.8177700785,1697.3929624611,2009.22136853272,-331802590.861699
"873",36,165253,11.1228695257334,61090.6676190558,9314.05077341587,819.375705794658,1932.05694179905,-317301846.586796
"874",36,165253,9.71419358297717,73725.05052098,8754.17538512416,173.309740121281,2056.4137634134,-339726589.340438
"875",36,165253,17.0379966248991,21163.4914273262,11482.0431430875,2440.09033744326,1844.4815890374,-304804983.759166
"876",36,165253,16.1046659455169,53190.9728540484,13111.3172536704,975.817804243512,2244.51597189915,-369872882.47308
"877",36,165253,18.344125097408,60570.796413593,17618.9606632421,666.614392061148,1839.87162586275,-303266953.782305
"878",36,165253,10.9177507167216,34387.5582395349,13520.2167211446,386.597474884952,1998.35379431265,-329142186.739648
"879",36,165253,13.3633262113202,27555.0076442843,15933.517369633,395.460384389631,1582.54556951535,-261076696.657352
"880",36,165253,7.86261118052062,73958.954439339,10052.4561053455,171.948709017751,1786.90322635462,-294420814.326057
"881",36,165253,1.66573501159437,48608.8489691974,10592.6767573833,681.860255298486,1954.22733593654,-322941929.94552
"882",36,165253,7.25603155512363,20846.9833558737,9158.15041568577,1934.02115004366,2001.87492912277,-330799299.873658
"883",36,165253,2.52705846270546,32282.6297517558,7208.27400624163,27.6208613667401,1893.62388292454,-312342781.173599
"884",36,165253,5.32534858069848,57806.425421169,14724.5604431662,1107.88088240121,1888.86164347721,-311709313.19563
"885",36,165253,2.77412794462871,57427.5370393311,14827.8938761095,2.96160998739992,1892.00660705506,-312636928.248873
"886",36,165253,11.8691945835017,32630.5923885453,8500.75753125504,2725.36239385601,1929.60543430886,-318477515.427226
"887",36,165253,6.96544171804562,22715.3642531105,17218.5185455311,337.508401316786,2231.97792769904,-368511674.104884
"888",36,165253,14.5540332508273,40758.0924012966,4046.91810845765,159.836775676138,2153.78640685447,-352643467.285658
"889",36,165253,14.2646247471916,36385.7873001312,15281.8483403374,68.4962126518116,1985.49001772606,-328108178.432021
"890",36,165253,8.17624937247019,24271.6371989673,2783.07952965134,136.238750009331,1929.82859212233,-318393420.513061
"891",36,165253,6.11644319053739,36256.3160491361,484.802725412694,228.931834595162,1960.36862833669,-323260201.48183
"892",36,165253,10.7199440729106,52873.196940397,21080.8057690769,804.208885720348,2016.83234728994,-332650628.670781
"893",36,165253,5.23595105262939,88898.4480698387,18826.4379706995,343.954633600025,1972.10128357052,-323323680.114623
"894",36,165253,7.40219666967168,58360.094178974,14046.670623961,800.18102220352,2009.08740318763,-331568124.841073
"895",36,165253,0.958851736597717,81636.2472562931,6366.27862418493,375.465093943571,1906.20366231618,-314693731.11121
"896",36,165253,4.0689019665122,50480.2847138146,3813.77831114753,691.290075720348,1912.17409000631,-315992483.828439
"897",36,165253,10.7442929188954,39202.5980386983,3690.87275420571,525.522093409226,1923.72420652256,-317853481.996101
"898",36,165253,18.571902754344,88385.4839760635,3550.13043229366,561.019555773796,2206.17670669587,-358254752.584815
"899",36,165253,3.59366152510047,16726.6637559417,12136.4622304821,1282.7866802084,2026.07028912556,-334814175.423386
"900",36,165253,17.2734381147195,66544.2400897196,8439.13374444153,1527.56838116287,1853.35179768066,-305995235.350573
"901",36,165253,13.7596815397497,25668.0243827154,7219.95613429471,1064.88056744222,1977.51554966618,-326789903.84893
"902",36,165253,10.4866133775096,50406.1415961513,10575.1519501534,406.358051277168,1993.35223037622,-329407436.126361
"903",36,165253,4.5787987209158,34680.4711997207,7698.88744903508,1570.52255649237,2173.15665314887,-358503182.800581
"904",36,165253,6.50245364578441,52513.4310751211,6031.36908168475,211.005716007836,1654.19016808332,-273351396.875282
"905",36,165253,14.7808618896874,56996.8885143216,4439.21983663585,2285.74325947761,2186.13130739579,-361020936.502781
